agglomeration,Data_year,nombre_pieces_homogene,average_loyer_m2,average_surface,total_nombre_logements,total_nombre_observations
Agglomération de Rennes,2016,Appart 2P,11.0,43.291666666666664,70328.0,27712.0
Agglomération de Rennes,2016,Appart 3P,9.229166666666666,64.20833333333333,53008.0,21992.0
Agglomération de Rennes,2016,Appart 4P et plus,8.6,87.58333333333333,28740.0,9720.0
Agglomération de Rennes,2016,Ensemble 1P,14.288888888888888,25.833333333333332,25176.0,12804.0
Agglomération de Rennes,2016,Ensemble 2P,11.005263157894737,43.05263157894737,35985.0,21114.0
Agglomération de Rennes,2016,Ensemble 3P,9.210526315789474,64.15789473684211,28663.0,17028.0
Agglomération de Grenoble,2016,Maison 1-3P,9.5875,67.375,8660.0,2712.0
Agglomération de Grenoble,2016,Ensemble 4P et plus,8.986363636363636,98.54545454545455,36395.0,18078.0
Agglomération de Grenoble,2016,Maison 4P et plus,8.90625,115.1875,23752.0,11568.0
Agglomération de Grenoble,2016,Appart 1P,13.924999999999999,28.583333333333332,37676.0,32880.0
Agglomération de Grenoble,2016,Appart 2P,11.358333333333334,47.125,67532.0,44148.0
Agglomération de Grenoble,2016,Appart 3P,9.904166666666667,66.66666666666667,70396.0,42672.0
Agglomération de Grenoble,2016,Appart 4P et plus,8.936363636363636,90.18181818181819,49036.0,24588.0
Agglomération de Grenoble,2016,Ensemble 1P,13.916666666666666,28.625,19092.0,16482.0
Agglomération de Grenoble,2016,Ensemble 2P,11.370833333333332,47.166666666666664,34864.0,22356.0
Agglomération de Grenoble,2016,Ensemble 3P,9.891666666666667,67.20833333333333,38176.0,22368.0
Sud Loire - proche Haute-Loire,2016,Appart 4P et plus,8.7,33.0,7524.0,1710.0
Sud Loire - proche Haute-Loire,2016,Ensemble 1P,7.7,50.0,29006.0,3832.0
Sud Loire - proche Haute-Loire,2016,Ensemble 2P,6.9,70.0,39744.0,4518.0
Sud Loire - proche Haute-Loire,2016,Ensemble 3P,6.3,100.0,39310.0,3320.0
Agglomération de Nantes,2016,Maison 1-3P,10.485714285714286,60.285714285714285,15492.0,2056.0
Agglomération de Nantes,2016,Ensemble 4P et plus,9.2,95.28571428571429,30718.0,9882.0
Agglomération de Nantes,2016,Maison 4P et plus,9.230434782608697,102.43478260869566,30424.0,4904.0
Agglomération de Nantes,2016,Appart 1P,13.591666666666667,28.625,51826.0,19384.0
Agglomération de Nantes,2016,Appart 2P,11.034615384615384,45.65384615384615,96036.0,42264.0
Agglomération de Nantes,2016,Appart 3P,9.73076923076923,66.57692307692308,61482.0,29912.0
Agglomération de Nantes,2016,Appart 4P et plus,9.012,88.8,31014.0,8272.0
Agglomération de Nantes,2016,Ensemble 1P,13.68888888888889,28.5,26298.0,14580.0
Agglomération de Nantes,2016,Ensemble 2P,11.03,45.7,50504.0,32064.0
Agglomération de Nantes,2016,Ensemble 3P,9.766666666666666,66.52380952380952,35615.0,23568.0
Agglomération de Nancy,2016,Ensemble 4P et plus,7.986363636363635,99.27272727272727,17340.0,6912.0
Agglomération de Nancy,2016,Maison 4P et plus,8.43,108.6,9090.0,1960.0
Agglomération de Nancy,2016,Appart 1P,12.104761904761904,27.714285714285715,34568.0,8656.0
Agglomération de Nancy,2016,Appart 2P,9.457692307692309,45.61538461538461,54080.0,16472.0
Agglomération de Nancy,2016,Appart 3P,8.407692307692308,66.38461538461539,40840.0,13480.0
Agglomération de Nancy,2016,Appart 4P et plus,7.726086956521739,94.91304347826087,25592.0,7256.0
Agglomération de Nancy,2016,Ensemble 1P,12.105555555555556,27.77777777777778,17384.0,6492.0
Agglomération de Nancy,2016,Ensemble 2P,9.470833333333333,45.791666666666664,27309.0,12438.0
Agglomération de Nancy,2016,Ensemble 3P,8.395833333333334,66.54166666666667,21240.0,10314.0
Agglomération de Lille,2016,Maison 1-3P,9.828571428571427,60.857142857142854,24494.0,2672.0
Agglomération de Lille,2016,Ensemble 4P et plus,9.041666666666666,94.95833333333333,64922.0,9936.0
Agglomération de Lille,2016,Maison 4P et plus,8.772727272727273,99.72727272727273,89366.0,6808.0
Agglomération de Lille,2016,Appart 1P,14.954166666666666,27.416666666666668,77432.0,21752.0
Agglomération de Lille,2016,Appart 2P,12.057692307692308,44.61538461538461,126030.0,35368.0
Agglomération de Lille,2016,Appart 3P,10.281481481481482,65.51851851851852,79968.0,22768.0
Agglomération de Lille,2016,Appart 4P et plus,9.191304347826087,89.6086956521739,40480.0,6440.0
Agglomération de Lille,2016,Ensemble 1P,14.928571428571429,27.571428571428573,39370.0,16398.0
Agglomération de Lille,2016,Ensemble 2P,12.034782608695652,44.69565217391305,66326.0,26868.0
Agglomération de Lille,2016,Ensemble 3P,10.141666666666667,66.25,48268.0,18654.0
Agglomération de Douai,2016,Maison 1-3P,8.075000000000001,61.75,5386.0,492.0
Agglomération de Douai,2016,Ensemble 4P et plus,6.95,93.0,8983.0,1080.0
Agglomération de Douai,2016,Maison 4P et plus,6.76,94.6,15594.0,808.0
Agglomération de Douai,2016,Appart 1P,12.2,29.0,1594.0,332.0
Agglomération de Douai,2016,Appart 2P,9.771428571428572,45.285714285714285,4668.0,1244.0
